Code,Semester,Average
CSC108,Fall 2022,B-
CSC110,Fall 2022,B+
CSC207,Fall 2022,B+
CSC236,Fall 2022,B
CSC258,Fall 2022,A-
CSC304,Fall 2022,B+
CSC336,Fall 2022,B
CSC343,Fall 2022,B
CSC410,Fall 2022,B-
CSC458,Fall 2022,B
CSC463,Fall 2022,B-
CSC485,Fall 2022,B
EAS103,Fall 2022,B-
ECO101,Fall 2022,C+
ECO316,Fall 2022,B
ECO320,Fall 2022,B-
ECO333,Fall 2022,B-
ECO364,Fall 2022,B
ECO367,Fall 2022,B
ECO372,Fall 2022,B+
ECO374,Fall 2022,A-
ECO421,Fall 2022,B+
ECO464,Fall 2022,A-
EEB362,Fall 2022,B-
ESS205,Fall 2022,B-
ETH201,Fall 2022,B
FAH101,Fall 2022,B+
FOR303,Fall 2022,B-
FSL100,Fall 2022,B-
GGR124,Fall 2022,B-
GGR198,Fall 2022,C+
GGR221,Fall 2022,C+
GGR272,Fall 2022,B
HIS319,Fall 2022,B-
HIS370,Fall 2022,B+
HMB265,Fall 2022,C+
HMB302,Fall 2022,B+
HMB311,Fall 2022,A-
HMB360,Fall 2022,B
HMB402,Fall 2022,B+
HMB422,Fall 2022,B+
HMB434,Fall 2022,A-
HMB450,Fall 2022,B+
HPS120,Fall 2022,B-
IMM250,Fall 2022,B+
IMM340,Fall 2022,B+
MAT135,Fall 2022,B-
MAT186,Fall 2022,C+
MAT188,Fall 2022,C+
MAT223,Fall 2022,B
MAT224,Fall 2022,C-
MAT240,Fall 2022,C+
MAT244,Fall 2022,B-
MAT246,Fall 2022,C+
MAT301,Fall 2022,B-
MAT332,Fall 2022,B-
MAT337,Fall 2022,C-
MAT344,Fall 2022,C+
MAT354,Fall 2022,B-
MAT409,Fall 2022,B+
MCS326,Fall 2022,B-
MGT100,Fall 2022,C+
MGY277,Fall 2022,B+
MGY377,Fall 2022,C+
MUS303,Fall 2022,C+
NFS284,Fall 2022,B-
NFS386,Fall 2022,B
PCL470,Fall 2022,B
PHL232,Fall 2022,B-
PHL244,Fall 2022,B-
PHL245,Fall 2022,B-
PHL265,Fall 2022,B-
PHL275,Fall 2022,B-
PHL342,Fall 2022,B-
PHL345,Fall 2022,B
PHY131,Fall 2022,B
PHY151,Fall 2022,B-
POL101,Fall 2022,B-
POL106,Fall 2022,B-
POL214,Fall 2022,C+
POL218,Fall 2022,B
POL222,Fall 2022,B
POL328,Fall 2022,B
POL340,Fall 2022,B-
POL354,Fall 2022,B-
POL356,Fall 2022,B-
PSL300,Fall 2022,C+
PSY100,Fall 2022,C+
PSY230,Fall 2022,B-
PSY260,Fall 2022,B-
PSY270,Fall 2022,C+
PSY328,Fall 2022,C-
PSY362,Fall 2022,B-
PSY379,Fall 2022,A-
PSY390,Fall 2022,B
RLG307,Fall 2022,B
RSM100,Fall 2022,B-
RSM219,Fall 2022,B+
RSM250,Fall 2022,B+
RSM320,Fall 2022,B+
RSM392,Fall 2022,B+
RSM422,Fall 2022,B+
SOC100,Fall 2022,B-
SOC202,Fall 2022,B
SOC204,Fall 2022,B
STA130,Fall 2022,B-
STA197,Fall 2022,A-
STA220,Fall 2022,B-
STA237,Fall 2022,C
STA247,Fall 2022,B-
STA257,Fall 2022,B-
STA302,Fall 2022,B-
STA304,Fall 2022,B-
STA314,Fall 2022,B-
VIC121,Fall 2022,B+
