Code,Semester,Average
POL209,Fall 2022,C+
CHM311,Winter 2023,C
JCP221,Winter 2023,B
BIO259,Fall 2022,C+
POL215,Fall 2022,C+
SOC202,Fall 2022,C+
CHM211,Fall 2022,B+
POL210,Winter 2023,C+
CCT109,Fall 2021,C+
POL216,Winter 2023,C+
SOC109,Winter 2023,C
CCT110,Winter 2022,B-
SOC275,Winter 2023,B-
ENG105,Fall 2022,B-
LIN204,Fall 2022,B
ENG110,Winter 2023,B-
PSY100,Fall 2022 - Winter 2023,C-
PHL245,Winter 2023,*
CSB329,Summer 2023,B
ITA233,Fall 2022,B+
CLA201,Fall 2022,B-
ENG102,Fall 2022,A-
RLG107,Winter 2023,B
ECO101,Fall 2022,C+
MUN101,Fall 2022,A-
RSM100,Fall 2022,B-
STA237,Fall 2022,C
CSC110,Fall 2022,B+
STA130,Fall 2022,B-
AST101,Fall 2022,C+
CHM135,Fall 2022,B-
BIO120,Fall 2022,B-
MAT135,Fall 2022,B-
PHL245,Fall 2022,B-
MAT223,Fall 2022,B
APM346,Fall 2022,C+
HPS203,Fall 2022,B
PHY407,Fall 2022,B+
PHL273,Fall 2022,B-
ENV100,Fall 2022,B
CSC111,Winter 2023,A-
MAT137,Winter 2023,C
MAT223,Winter 2023,B-
PSY100,Winter 2023,C+
MAT224,Winter 2023,C+
MAT235,Winter 2023,C+
BIO220,Winter 2023,B-
BIO260,Winter 2023,B-
CHM136,Winter 2023,C+
NFS284,Winter 2023,B
ECO102,Winter 2023,C+
PSY493,Winter 2023,B
CAR315,Winter 2023,A- 
HIS250,Fall/Winter 2023,C+
HIS328,Winter 2023,B
HIS331,Fall 2022,B-
CSC207,Fall 2022,B+
CSC236,Fall 2022,B
CSC300,Fall 2022,B+
CSC209,Winter 2023,B-
CSC258,Winter 2023,B+
CSC263,Winter 2023,B
ENT200,Winter 2023,B+
TRN151,Fall 2022 - Winter 2023,A-
POL109,Winter 2023,B
TRN152,Fall 2022 - Winter 2023,B+
GER400,Fall 2022,A-
JSC270,WInter 2023,A-
HIS103,Fall2022/Winter 2023,B-
APS110,Fall 2022,B
APS111,Fall 2022,B-
CIV100,Fall 2022,C
